,Barangay,Longitude,Latitude
1,San Agustin,121.208259,14.064385
2,San Antonio,121.152426,14.116221
3,San Rafael,121.146696,14.133653
4,Santiago,121.155288,14.127275
5,San Bartolome,121.179629,14.114784
6,San Miguel,121.179629,14.104491
7,San Felix,121.198239,14.082534
8,San Fernando,121.213984,14.027571
9,San Francisco,121.178197,14.041935
10,San Isidro Norte,121.178197,14.072534
11,San Isidro Sur,121.185356,14.057366
12,"	San Joaquin",121.198601,14.056397
13,San Jose,121.203965,14.076572
14,San Juan,121.201102,14.069265
15,San Luis,121.198239,14.018244
16,San Pablo,121.183924,14.079435
17,San Pedro,121.178197,14.085398
18,Santa Teresita,121.192514,14.019059
19,Santa Maria,121.168175,14.070106
20,Santa Elena,121.202534,14.096068
21,Santa Clara,121.208259,14.018103
22,Santa Anastacia,121.139536,14.141115
23,Santa Ana,121.192514,14.065347
24,Santa Cruz,121.211122,13.994563
25,San Vicente,121.168175,14.090689
26,San Roque,121.150992,14.098289
